"order"	"cultivation"	"trial"	"sampleID"	"aliquotID"	"name"	"crossing"	"line_id"	"treatment"	"plate_name"	"plate"	"machine"	"sector"	"date"	"time"
1	"foil greenhouse"	"MPI FGH 2014"	920860	1565355	"AR200"	"AxR"	899663	"control"	"TROST2_plate1_M3_6pm"	"plate1"	"M3"	"AB"	101114	"6pm"
2	"foil greenhouse"	"MPI FGH 2014"	920861	1565359	"AR230"	"AxR"	899693	"control"	"TROST2_plate1_M3_6pm"	"plate1"	"M3"	"CD"	101114	"6pm"
3	"foil greenhouse"	"MPI FGH 2014"	920862	1565363	"AR269"	"AxR"	899732	"control"	"TROST2_plate1_M3_6pm"	"plate1"	"M3"	"EF"	101114	"6pm"
4	"foil greenhouse"	"MPI FGH 2014"	920863	1565367	"AR48"	"AxR"	899511	"control"	"TROST2_plate1_M3_6pm"	"plate1"	"M3"	"GH"	101114	"6pm"
5	"foil greenhouse"	"MPI FGH 2014"	920864	1565371	"Desiree"	"Desiree"	22497	"control"	"TROST2_plate1_M3_6pm"	"plate1"	"M3"	"IJ"	101114	"6pm"
6	"foil greenhouse"	"MPI FGH 2014"	920865	1565375	"AR141"	"AxR"	899604	"control"	"TROST2_plate1_M3_6pm"	"plate1"	"M3"	"KL"	101114	"6pm"
7	"foil greenhouse"	"MPI FGH 2014"	920866	1565379	"AR98"	"AxR"	899561	"control"	"TROST2_plate1_M3_6pm"	"plate1"	"M3"	"MN"	101114	"6pm"
8	"foil greenhouse"	"MPI FGH 2014"	920867	1565383	"AR296"	"AxR"	899759	"control"	"TROST2_plate1_M3_6pm"	"plate1"	"M3"	"OP"	101114	"6pm"
9	"foil greenhouse"	"MPI FGH 2014"	920868	1565387	"AR165"	"AxR"	899628	"control"	"TROST2_plate2_M3_101114_10am"	"plate2"	"M3"	"AB"	101114	"10am"
10	"foil greenhouse"	"MPI FGH 2014"	920869	1565391	"AR183"	"AxR"	899646	"control"	"TROST2_plate2_M3_101114_10am"	"plate2"	"M3"	"CD"	101114	"10am"
11	"foil greenhouse"	"MPI FGH 2014"	920870	1565395	"AR126"	"AxR"	899589	"control"	"TROST2_plate2_M3_101114_10am"	"plate2"	"M3"	"EF"	101114	"10am"
12	"foil greenhouse"	"MPI FGH 2014"	920871	1565399	"AR168"	"AxR"	899631	"control"	"TROST2_plate2_M3_101114_10am"	"plate2"	"M3"	"GH"	101114	"10am"
13	"foil greenhouse"	"MPI FGH 2014"	920873	1565407	"AR176"	"AxR"	899639	"control"	"TROST2_plate2_M3_101114_10am"	"plate2"	"M3"	"IJ"	101114	"10am"
14	"foil greenhouse"	"MPI FGH 2014"	920874	1565411	"AR129"	"AxR"	899592	"control"	"TROST2_plate2_M3_101114_10am"	"plate2"	"M3"	"KL"	101114	"10am"
15	"foil greenhouse"	"MPI FGH 2014"	920875	1565415	"AR299"	"AxR"	899762	"control"	"TROST2_plate2_M3_101114_10am"	"plate2"	"M3"	"MN"	101114	"10am"
16	"foil greenhouse"	"MPI FGH 2014"	920876	1565419	"AR207"	"AxR"	899670	"control"	"TROST2_plate2_M3_101114_10am"	"plate2"	"M3"	"OP"	101114	"10am"
17	"foil greenhouse"	"MPI FGH 2014"	920877	1565423	"AR291"	"AxR"	899754	"control"	"TROST2_plate3_M4_101114_10am"	"plate3"	"M4"	"AB"	101114	"10am"
18	"foil greenhouse"	"MPI FGH 2014"	920878	1565427	"AR298"	"AxR"	899761	"control"	"TROST2_plate3_M4_101114_10am"	"plate3"	"M4"	"CD"	101114	"10am"
