"cultivation"	"trial"	"sampleID"	"aliquotID"	"cultivar"	"subspecies_id"	"treatment"	"trost_valdis"
"1"	"field"	"mpi_feld_2011"	865043	1115404	"Ulme"	2853	"control"	"trost"
"2"	"field"	"mpi_feld_2011"	864904	1116587	"Ulme"	2853	"drought stress"	"trost"
"3"	"field"	"mpi_feld_2011"	865044	1115408	"Milva"	2674	"control"	"trost"
"4"	"field"	"mpi_feld_2011"	865132	1114271	"Milva"	2674	"control"	"trost"
"5"	"field"	"mpi_feld_2011"	864901	1116575	"Milva"	2674	"drought stress"	"trost"
"6"	"field"	"mpi_feld_2011"	864948	1116763	"Milva"	2674	"drought stress"	"trost"
"7"	"field"	"mpi_feld_2011"	865021	1117055	"Eldena"	2854	"control"	"trost"
"8"	"field"	"mpi_feld_2011"	864899	1116567	"Eldena"	2854	"drought stress"	"trost"
"9"	"field"	"mpi_feld_2011"	865029	1115348	"Eurobravo"	2855	"control"	"trost"
"10"	"field"	"mpi_feld_2011"	864908	1116603	"Eurobravo"	2855	"drought stress"	"trost"
"11"	"field"	"mpi_feld_2011"	865042	1115400	"Euroflora"	2856	"control"	"trost"
"12"	"field"	"mpi_feld_2011"	864893	1116543	"Euroflora"	2856	"drought stress"	"trost"
"13"	"field"	"mpi_feld_2011"	865048	1115424	"Euronova"	2857	"control"	"trost"
"14"	"field"	"mpi_feld_2011"	864801	1053443	"Euronova"	2857	"drought stress"	"trost"
"15"	"field"	"mpi_feld_2011"	865022	1117059	"Euroresa"	2858	"control"	"trost"
"16"	"field"	"mpi_feld_2011"	864886	1116515	"Euroresa"	2858	"drought stress"	"trost"
"17"	"field"	"mpi_feld_2011"	865098	1115624	"Eurostarch"	2859	"control"	"trost"
"18"	"field"	"mpi_feld_2011"	864884	1116507	"Eurostarch"	2859	"drought stress"	"trost"
"19"	"field"	"mpi_feld_2011"	865086	1115576	"Eurotango"	2860	"control"	"trost"
"20"	"field"	"mpi_feld_2011"	864905	1116591	"Eurotango"	2860	"drought stress"	"trost"
"21"	"field"	"mpi_feld_2011"	865037	1115380	"Kuras"	2861	"control"	"trost"
"22"	"field"	"mpi_feld_2011"	864879	1116487	"Kuras"	2861	"drought stress"	"trost"
"23"	"field"	"mpi_feld_2011"	865028	1115344	"Tomensa"	2862	"control"	"trost"
